State,City,Category,Clothing Type,Store Number,Postal Code,Store Type,Store Open Date,Selling Area Size (sq ft),Store Manager,Manager ID,Operating Hours,Staff Count,Parking Availability,Order ID,Order Date,Month,Customer ID,Customer Name,Product ID,Price,Quantity,Sales Profit
Andhra Pradesh,Visakhapatnam,Kids,T-shirts,54,403221,Owned,15-09-2022,1100,Brandon Wilson,M86,9 AM - 8 PM,16,Available,49453,23-08-2024,August,670500,Justin Dawson,367,1475,5,2950
Andhra Pradesh,Visakhapatnam,Women,Pants,80,419970,Owned,11-04-2020,1000,Christopher Martin,M41,11 AM - 8 PM,7,Available,89409,02-06-2024,June,475932,Laura Gilmore,970,1987,8,6358.4
Andhra Pradesh,Visakhapatnam,Women,Skirts,32,424754,Rented,29-01-2023,1100,Kristin Giles,M61,9 AM - 8 PM,14,Not Available,68768,29-03-2024,March,152996,Jessica Wyatt,716,781,7,2186.8
Andhra Pradesh,Visakhapatnam,Men,Shirts,12,402990,Rented,21-04-2022,800,Kyle Chung,M46,10 AM - 9 PM,19,Not Available,79865,28-01-2024,January,403351,Jessica Small,961,912,4,1459.2
Andhra Pradesh,Visakhapatnam,Women,Tops,4,434346,Rented,21-04-2021,1000,Phillip Powell,M10,10 AM - 7 PM,20,Not Available,52912,06-06-2024,June,477858,Mary Cole,366,912,6,2188.8
Andhra Pradesh,Visakhapatnam,Kids,Dresses,90,420265,Rented,10-12-2021,1000,Barbara Garcia,M95,9 AM - 8 PM,8,Available,16266,31-05-2024,May,225155,Mark Kelley,879,1395,2,1116
Andhra Pradesh,Visakhapatnam,Men,Dresses,88,410916,Rented,11-10-2021,1400,Justin Juarez,M27,11 AM - 8 PM,18,Not Available,38624,06-02-2024,February,566732,Trevor Taylor,729,2459,8,7868.8
Andhra Pradesh,Visakhapatnam,Men,Shoes,51,425435,Owned,20-02-2021,950,Tyler Sanchez DDS,M59,10 AM - 7 PM,6,Not Available,55352,06-02-2024,February,223495,Brandon Garrett,326,2806,7,7856.8
Andhra Pradesh,Visakhapatnam,Women,Dresses,29,413674,Rented,01-11-2023,1100,Bradley Palmer,M14,10 AM - 9 PM,10,Not Available,14692,19-04-2024,April,284926,James Taylor,479,2590,8,8288
Andhra Pradesh,Visakhapatnam,Men,Dresses,39,400146,Rented,22-01-2021,1100,Lisa Williams,M83,10 AM - 9 PM,19,Not Available,44853,13-02-2024,February,263912,Bruce Mccann,288,1174,8,3756.8
Andhra Pradesh,Visakhapatnam,Kids,Hoodies,63,424081,Owned,02-04-2024,1100,Brent Lewis,M32,10 AM - 7 PM,3,Not Available,80248,09-04-2024,April,185074,Tyler Watts,474,1360,7,3808
Andhra Pradesh,Visakhapatnam,Men,Jackets,69,435660,Rented,26-03-2022,1300,Katherine Fox,M52,10 AM - 9 PM,6,Not Available,41305,13-01-2024,January,984623,Veronica Mejia,414,2407,4,3851.2
Andhra Pradesh,Visakhapatnam,Kids,Tops,37,416180,Rented,29-09-2021,1300,Jonathan Ellis,M52,11 AM - 8 PM,15,Not Available,25848,23-02-2024,February,786792,Tammy Gonzalez,269,847,5,1694
Andhra Pradesh,Visakhapatnam,Men,Dresses,90,408223,Rented,12-01-2022,1200,Courtney Wiggins,M96,9 AM - 8 PM,14,Not Available,27324,09-01-2024,January,881844,Krystal Jones,347,1078,3,1293.6
Andhra Pradesh,Visakhapatnam,Kids,Tops,57,430812,Rented,06-04-2021,1200,Howard Giles,M4,11 AM - 8 PM,12,Not Available,88565,04-06-2024,June,168798,Barbara Bell,849,1986,3,2383.2
Andhra Pradesh,Visakhapatnam,Men,Hoodies,1,417885,Owned,29-09-2020,1400,Derrick Alvarado,M28,10 AM - 7 PM,10,Available,27952,01-09-2024,September,363406,Andrew Thomas,866,1804,3,2164.8
Andhra Pradesh,Visakhapatnam,Women,Pants,34,411344,Rented,15-07-2021,1300,Ashley Tucker,M43,9 AM - 8 PM,7,Available,59023,05-02-2024,February,946632,Kaylee Parrish,331,1033,2,826.4
Andhra Pradesh,Visakhapatnam,Men,Dresses,20,400354,Owned,04-09-2023,1400,Michael Williams,M50,11 AM - 8 PM,16,Available,43455,09-06-2024,June,639547,Frederick Vasquez,724,991,4,1585.6
Andhra Pradesh,Visakhapatnam,Men,Hoodies,36,433902,Owned,04-05-2022,1000,Trevor Duncan,M74,9 AM - 8 PM,13,Not Available,85617,21-11-2024,November,387027,Linda Lee,297,1767,6,4240.8
Andhra Pradesh,Visakhapatnam,Kids,Shirts,73,435695,Rented,24-12-2022,1100,Kimberly Duke,M26,10 AM - 9 PM,12,Not Available,20987,05-02-2024,February,212594,Kathleen Jones,490,1663,6,3991.2
Andhra Pradesh,Visakhapatnam,Men,Dresses,92,437363,Rented,02-02-2024,1000,Luis Brown,M91,9 AM - 8 PM,8,Available,79682,23-03-2024,March,305289,Jeffrey Ware,743,2516,4,4025.6
Andhra Pradesh,Visakhapatnam,Kids,Sweaters,49,424943,Owned,10-09-2020,800,Teresa Wright,M52,9 AM - 8 PM,12,Not Available,89519,26-03-2024,March,154736,Jared Pearson,416,2834,7,7935.2
Andhra Pradesh,Visakhapatnam,Women,Jackets,95,422019,Owned,30-11-2020,1300,Jodi Kaiser,M71,10 AM - 9 PM,14,Not Available,66673,30-01-2024,January,711876,Denise Hanson,327,2252,3,2702.4
Andhra Pradesh,Visakhapatnam,Women,Shoes,64,424433,Rented,22-06-2020,1400,Jim Taylor,M50,10 AM - 9 PM,8,Not Available,47136,18-09-2024,September,999151,Blake Briggs,772,1142,6,2740.8
Andhra Pradesh,Visakhapatnam,Women,Dresses,31,401068,Owned,16-11-2020,1300,Robert Murray,M75,10 AM - 7 PM,9,Available,97379,22-06-2024,June,779258,Lauren Bishop,405,769,3,922.8
Andhra Pradesh,Visakhapatnam,Women,T-shirts,21,421433,Owned,18-07-2021,1000,James Stephenson,M50,11 AM - 8 PM,6,Not Available,96562,28-02-2024,February,501797,Joshua Peterson,941,2644,3,3172.8
Andhra Pradesh,Visakhapatnam,Kids,T-shirts,84,435351,Rented,23-02-2023,950,Daniel Williams,M34,9 AM - 8 PM,9,Available,77090,05-11-2024,November,101464,Amber Benjamin,825,762,3,914.4
Andhra Pradesh,Visakhapatnam,Women,Skirts,27,405333,Rented,16-12-2023,1300,Miguel Nelson,M88,9 AM - 8 PM,18,Not Available,32619,05-05-2024,May,891914,Ariel Hernandez,302,2988,5,5976
Andhra Pradesh,Visakhapatnam,Men,T-shirts,37,433286,Owned,12-03-2022,800,David Farmer,M51,9 AM - 8 PM,19,Not Available,48036,04-08-2024,August,824802,Jeffrey Scott,818,2329,6,5589.6
Andhra Pradesh,Visakhapatnam,Men,Tops,19,439830,Rented,12-01-2023,800,Rebecca Rice,M11,9 AM - 8 PM,19,Not Available,93575,08-06-2024,June,267186,Cynthia Wood,865,1751,1,700.4
Andhra Pradesh,Visakhapatnam,Men,Jackets,5,408218,Rented,20-11-2023,1000,Amber Padilla,M69,11 AM - 8 PM,7,Not Available,59319,08-10-2024,October,525316,Patricia Black,718,2190,6,5256
Andhra Pradesh,Visakhapatnam,Men,Shirts,2,402938,Owned,02-03-2020,1200,Christina Rodriguez,M70,9 AM - 8 PM,14,Not Available,49110,16-10-2024,October,123283,Glen Jones,547,771,5,1542
Andhra Pradesh,Visakhapatnam,Men,Jackets,50,428784,Rented,27-03-2022,1300,Lisa Jackson,M31,9 AM - 8 PM,8,Not Available,50671,04-07-2024,July,395117,Daisy Bates,996,561,4,897.6
Andhra Pradesh,Visakhapatnam,Men,Jackets,85,412332,Owned,04-04-2021,1000,Dakota Davis,M53,11 AM - 8 PM,10,Available,39800,13-02-2024,February,449759,Roger Hernandez,506,2474,1,989.6
Andhra Pradesh,Visakhapatnam,Women,Hoodies,45,417319,Owned,28-06-2022,950,Benjamin Weaver,M49,9 AM - 8 PM,12,Not Available,21262,18-02-2024,February,390633,Anthony Campbell,888,557,6,1336.8
Andhra Pradesh,Visakhapatnam,Women,Pants,38,410920,Owned,29-04-2020,1400,Paul Vazquez,M73,11 AM - 8 PM,5,Available,50644,05-11-2024,November,249518,Chris Miller,985,601,4,961.6
Andhra Pradesh,Visakhapatnam,Women,Sweaters,89,404045,Rented,22-07-2021,1000,Alec Taylor,M85,10 AM - 7 PM,7,Available,66109,04-09-2024,September,958534,Lynn Simon,792,2738,5,5476
Andhra Pradesh,Visakhapatnam,Men,Skirts,81,427564,Rented,14-04-2020,800,Luke Johnson,M49,11 AM - 8 PM,17,Available,25215,12-05-2024,May,654693,Gregory Fox,421,2131,8,6819.2
Andhra Pradesh,Visakhapatnam,Men,Shirts,17,430084,Owned,06-12-2020,800,Michelle Baker,M89,9 AM - 8 PM,13,Not Available,27380,09-04-2024,April,602742,Jennifer Wells,744,1341,1,536.4
Andhra Pradesh,Visakhapatnam,Kids,Tops,57,410444,Rented,02-12-2023,1100,Shannon Oconnell,M67,9 AM - 8 PM,20,Not Available,55517,09-01-2024,January,511674,Ray Patton,786,606,7,1696.8
Andhra Pradesh,Visakhapatnam,Women,Tops,97,427099,Rented,25-06-2020,800,John Fleming,M37,9 AM - 8 PM,14,Not Available,64951,04-09-2024,September,797436,Daniel Rogers,256,1511,5,3022
Andhra Pradesh,Visakhapatnam,Women,Shirts,39,436592,Owned,24-11-2020,1300,Laura Byrd,M21,10 AM - 9 PM,15,Available,83442,08-04-2024,April,816745,Thomas Lyons,846,2257,6,5416.8
Andhra Pradesh,Visakhapatnam,Men,Dresses,14,426853,Rented,18-01-2021,1400,Sara Ramirez,M90,10 AM - 9 PM,11,Available,95903,29-08-2024,August,414643,Joshua Medina,952,2835,6,6804
Andhra Pradesh,Visakhapatnam,Men,Dresses,72,421904,Rented,06-05-2020,1200,Matthew Carr,M4,9 AM - 8 PM,11,Not Available,40807,18-09-2024,September,237235,James Farmer,584,2106,4,3369.6
Andhra Pradesh,Visakhapatnam,Kids,Shirts,11,416709,Rented,21-04-2022,1300,Joseph Zimmerman,M20,10 AM - 7 PM,12,Available,16873,24-09-2024,September,928991,Brooke Schmitt,630,1815,4,2904
Andhra Pradesh,Visakhapatnam,Kids,Jackets,27,411874,Owned,29-01-2022,1400,Ethan Shepherd,M25,9 AM - 8 PM,7,Not Available,20218,23-06-2024,June,454955,Janice Rodriguez,965,2715,1,1086
Andhra Pradesh,Visakhapatnam,Men,Skirts,93,408657,Owned,11-11-2023,1400,Joe Martin,M55,10 AM - 7 PM,8,Not Available,38064,13-02-2024,February,489313,Stephen Robinson,422,923,2,738.4
Andhra Pradesh,Visakhapatnam,Women,Shirts,69,422705,Owned,28-12-2020,800,Aaron Johnson,M46,9 AM - 8 PM,9,Not Available,58092,19-08-2024,August,184325,Sara Conrad,683,2440,4,3904
Andhra Pradesh,Visakhapatnam,Women,Pants,48,403496,Owned,04-10-2024,950,Connie Summers,M99,11 AM - 8 PM,6,Not Available,14647,17-01-2024,January,427821,Christopher Richards,767,630,2,504
Andhra Pradesh,Visakhapatnam,Women,Tops,60,404646,Rented,02-08-2022,1000,Thomas Jennings,M79,10 AM - 9 PM,4,Not Available,81428,10-07-2024,July,906193,Brandon Mcguire,377,1136,2,908.8
Andhra Pradesh,Visakhapatnam,Kids,Skirts,42,420801,Rented,05-03-2021,1000,Kimberly Miller,M32,11 AM - 8 PM,16,Available,25066,12-06-2024,June,341501,William Kim,279,790,4,1264
Andhra Pradesh,Visakhapatnam,Kids,Skirts,6,433543,Owned,04-05-2024,1400,Beth Kent,M63,11 AM - 8 PM,4,Available,82301,16-03-2024,March,925922,Johnathan Reynolds,545,1067,5,2134
Andhra Pradesh,Visakhapatnam,Women,Hoodies,54,409134,Owned,18-10-2021,1400,Chad Scott,M13,10 AM - 7 PM,16,Available,13907,16-02-2024,February,667652,John Campbell,772,1839,3,2206.8
Andhra Pradesh,Visakhapatnam,Kids,Hoodies,2,403715,Rented,19-08-2021,1200,Randy Lewis,M41,10 AM - 7 PM,8,Not Available,12119,01-06-2024,June,146840,Andrew Cabrera,662,1133,8,3625.6
Andhra Pradesh,Visakhapatnam,Men,Tops,47,434419,Owned,03-05-2020,1300,Robert Hancock,M12,11 AM - 8 PM,20,Available,84066,28-11-2024,November,115825,Thomas Paul,824,1857,7,5199.6
Andhra Pradesh,Visakhapatnam,Women,Hoodies,64,410843,Owned,05-02-2020,1300,Benjamin Willis,M22,11 AM - 8 PM,8,Not Available,74146,05-08-2024,August,552222,Kelly Frye,352,1414,1,565.6
Andhra Pradesh,Visakhapatnam,Kids,Shoes,88,419466,Owned,01-06-2022,1400,Monica Pacheco,M32,11 AM - 8 PM,7,Not Available,96905,20-04-2024,April,788999,Robert Sullivan,278,2627,5,5254
Andhra Pradesh,Visakhapatnam,Kids,Hoodies,82,426815,Rented,20-02-2020,1200,Curtis Moore,M53,10 AM - 9 PM,14,Not Available,43424,30-05-2024,May,236332,Rhonda Boyle,415,1585,1,634
Andhra Pradesh,Visakhapatnam,Kids,Jeans,75,411055,Owned,12-12-2023,1200,Michael Burton,M32,9 AM - 8 PM,8,Not Available,84922,02-05-2024,May,896593,Anthony Garner,265,2856,5,5712
Andhra Pradesh,Visakhapatnam,Women,T-shirts,33,408183,Rented,03-09-2022,1400,Stephanie Wright,M32,11 AM - 8 PM,20,Not Available,98226,31-03-2024,March,322807,Alex Bautista,285,1299,5,2598
Andhra Pradesh,Visakhapatnam,Kids,Jeans,10,412346,Owned,27-04-2022,950,Shannon Steele,M84,11 AM - 8 PM,6,Not Available,43648,21-09-2024,September,837383,Mallory Dillon,416,2339,1,935.6
Andhra Pradesh,Visakhapatnam,Women,Dresses,32,417809,Rented,08-07-2022,1400,Andrew Sellers,M79,11 AM - 8 PM,5,Not Available,96870,23-02-2024,February,531119,Michael Mitchell,226,1537,3,1844.4
Andhra Pradesh,Visakhapatnam,Women,Jackets,73,409225,Owned,08-06-2020,950,Randy Fernandez,M75,10 AM - 7 PM,20,Available,42106,22-03-2024,March,940371,Brittany Soto,513,1431,2,1144.8
Andhra Pradesh,Visakhapatnam,Women,Shirts,45,407286,Owned,13-11-2023,1400,Christy Calhoun,M51,10 AM - 9 PM,9,Not Available,91161,04-01-2024,January,174036,Manuel Patton,252,2797,8,8950.4
Andhra Pradesh,Visakhapatnam,Kids,Pants,22,412498,Owned,15-04-2022,1000,Jennifer Walker,M26,10 AM - 9 PM,13,Not Available,51373,24-06-2024,June,153582,Elizabeth Ritter,800,617,7,1727.6
Andhra Pradesh,Visakhapatnam,Women,Pants,49,432890,Owned,24-06-2020,1200,Dana Sanchez,M83,9 AM - 8 PM,4,Not Available,39090,05-03-2024,March,654886,Rebekah Lee,362,2311,7,6470.8
Andhra Pradesh,Visakhapatnam,Men,Pants,43,406992,Rented,17-11-2021,1300,Carmen Harvey,M16,10 AM - 7 PM,5,Not Available,22587,27-11-2024,November,779825,Felicia King,710,1844,2,1475.2
Andhra Pradesh,Visakhapatnam,Men,T-shirts,34,426240,Owned,19-09-2021,1400,David Nunez,M2,11 AM - 8 PM,19,Not Available,88560,06-07-2024,July,779184,James Harris,934,1919,1,767.6
Andhra Pradesh,Visakhapatnam,Women,Jeans,32,416135,Rented,28-04-2022,800,Carrie Lucero,M17,9 AM - 8 PM,5,Not Available,82701,04-09-2024,September,789053,Jacqueline Chapman,252,1729,5,3458
Andhra Pradesh,Visakhapatnam,Kids,Skirts,48,430771,Rented,25-06-2022,950,Christopher Gomez,M67,10 AM - 7 PM,10,Not Available,26485,06-04-2024,April,901079,Robert Brown,465,821,4,1313.6
Andhra Pradesh,Visakhapatnam,Women,Skirts,38,438503,Owned,04-09-2023,800,Hannah Chapman,M34,11 AM - 8 PM,17,Not Available,45932,24-10-2024,October,352953,Brittany Foster,441,1744,2,1395.2
Andhra Pradesh,Visakhapatnam,Women,Tops,5,407253,Owned,08-01-2024,950,John Hensley,M79,10 AM - 7 PM,20,Available,27033,20-04-2024,April,847405,Kari Nguyen,390,1802,2,1441.6
Andhra Pradesh,Visakhapatnam,Men,Jackets,47,421052,Rented,29-01-2022,1000,Mary Jackson,M20,9 AM - 8 PM,15,Available,33277,21-03-2024,March,191119,Adrienne Richard,854,2610,6,6264
Andhra Pradesh,Visakhapatnam,Men,Sweaters,23,426675,Rented,28-01-2020,1400,Jeffrey Ramirez,M77,10 AM - 7 PM,18,Not Available,52649,24-08-2024,August,230139,Michael Smith,676,2812,5,5624
Andhra Pradesh,Visakhapatnam,Women,T-shirts,55,414193,Rented,28-07-2020,1400,Joel Hill,M71,9 AM - 8 PM,13,Not Available,30466,14-11-2024,November,382537,Benjamin Castillo,417,2581,7,7226.8
Andhra Pradesh,Visakhapatnam,Men,Dresses,74,433127,Rented,26-02-2023,1100,Christopher Torres,M23,10 AM - 9 PM,18,Not Available,23964,26-01-2024,January,567919,Patricia Mitchell,828,536,3,643.2
Andhra Pradesh,Visakhapatnam,Kids,Hoodies,34,438687,Owned,26-09-2022,1200,Dwayne Howard,M29,9 AM - 8 PM,18,Not Available,66547,29-01-2024,January,339322,Kimberly Wagner DDS,726,1536,8,4915.2
Andhra Pradesh,Visakhapatnam,Men,Hoodies,92,419057,Owned,08-01-2020,1300,Sean Montes,M82,9 AM - 8 PM,12,Not Available,53110,26-09-2024,September,318833,Travis Lawson,700,2438,4,3900.8
Andhra Pradesh,Visakhapatnam,Kids,Tops,79,430965,Rented,07-05-2024,1000,Mark Robinson,M26,10 AM - 7 PM,7,Not Available,54487,23-07-2024,July,543722,Laura Shepherd,476,975,3,1170
Andhra Pradesh,Visakhapatnam,Women,Sweaters,31,432597,Rented,05-03-2022,1400,Lori Cole,M37,10 AM - 7 PM,13,Not Available,12089,26-09-2024,September,705158,Mark Phillips,496,2056,7,5756.8
Andhra Pradesh,Visakhapatnam,Men,Dresses,38,419035,Rented,11-11-2021,800,James King,M5,10 AM - 9 PM,17,Not Available,31363,05-01-2024,January,276082,Megan Simpson,867,1873,5,3746
Andhra Pradesh,Visakhapatnam,Kids,Dresses,47,421352,Owned,24-12-2020,950,Kevin Lee,M32,11 AM - 8 PM,20,Not Available,73156,28-04-2024,April,696698,Kayla Ortega,936,2445,4,3912
Andhra Pradesh,Visakhapatnam,Women,Shirts,51,421892,Owned,20-06-2022,800,Peggy Wiley,M12,11 AM - 8 PM,15,Not Available,69870,28-07-2024,July,719923,Mark Fuller,925,1884,2,1507.2
Andhra Pradesh,Visakhapatnam,Kids,Jeans,95,424831,Owned,19-08-2020,1400,Travis Clark,M6,9 AM - 8 PM,12,Available,65945,02-09-2024,September,215617,John Bailey,511,1487,5,2974
Andhra Pradesh,Visakhapatnam,Women,Skirts,50,400872,Rented,16-05-2020,1100,James Ward,M53,9 AM - 8 PM,10,Not Available,46139,12-03-2024,March,139727,William Smith,430,1118,3,1341.6
Andhra Pradesh,Visakhapatnam,Women,Hoodies,42,437482,Rented,21-12-2021,1000,Jessica Simmons,M74,11 AM - 8 PM,17,Not Available,80814,16-04-2024,April,794625,Yvette Bradshaw,886,678,2,542.4
Andhra Pradesh,Visakhapatnam,Women,Skirts,83,432219,Rented,17-06-2023,1200,Steven Howard,M10,10 AM - 7 PM,10,Available,84508,14-08-2024,August,649450,Cathy Adams,285,1298,6,3115.2
Andhra Pradesh,Visakhapatnam,Kids,Jackets,74,406691,Owned,11-05-2023,1400,Melissa Robinson,M22,11 AM - 8 PM,10,Not Available,52735,06-11-2024,November,924432,David Burgess,366,2267,8,7254.4
Andhra Pradesh,Visakhapatnam,Kids,Skirts,13,438300,Owned,09-08-2021,950,Jose Abbott,M16,11 AM - 8 PM,11,Available,83482,24-07-2024,July,849038,Janice Rodriguez,262,2716,2,2172.8
Andhra Pradesh,Visakhapatnam,Kids,Sweaters,41,436774,Rented,13-09-2020,1200,Amy West,M76,10 AM - 7 PM,9,Available,77139,26-08-2024,August,580196,Brooke Levine,642,2143,1,857.2
Andhra Pradesh,Visakhapatnam,Men,Sweaters,94,427888,Owned,05-05-2021,1000,Robert Maddox,M92,10 AM - 9 PM,11,Not Available,62313,13-09-2024,September,936952,Kevin Stephens,573,870,8,2784
Andhra Pradesh,Visakhapatnam,Women,Pants,63,416280,Owned,20-04-2020,1300,Lynn Pierce,M23,10 AM - 7 PM,16,Not Available,17009,03-09-2024,September,119190,Ethan Perry,895,1156,1,462.4
Andhra Pradesh,Visakhapatnam,Women,Jackets,67,401894,Owned,02-06-2023,1200,Jessica Hess,M32,10 AM - 9 PM,17,Available,78276,23-03-2024,March,468356,Jason Miller,713,2723,2,2178.4
Andhra Pradesh,Visakhapatnam,Women,Tops,23,435341,Rented,03-11-2024,1000,John Cook,M52,10 AM - 7 PM,17,Available,39514,29-11-2024,November,988138,Deborah Ortiz,605,1769,6,4245.6
Andhra Pradesh,Visakhapatnam,Kids,Skirts,43,410236,Owned,28-08-2020,1300,Denise Thomas,M92,10 AM - 9 PM,4,Not Available,68861,18-02-2024,February,767494,Mr. James Briggs DVM,814,2870,8,9184
Andhra Pradesh,Visakhapatnam,Kids,T-shirts,93,417279,Rented,01-07-2020,1100,Micheal Reed,M41,9 AM - 8 PM,11,Not Available,33821,12-10-2024,October,180390,Benjamin Barry,589,2201,6,5282.4
Andhra Pradesh,Visakhapatnam,Men,Shoes,4,435401,Rented,14-10-2023,950,Norman Davis,M25,10 AM - 7 PM,20,Available,33748,16-07-2024,July,337912,Tiffany Frazier,585,595,6,1428
Andhra Pradesh,Visakhapatnam,Men,Shoes,72,411310,Rented,17-06-2021,1100,Jordan Mills,M71,11 AM - 8 PM,6,Available,89352,30-05-2024,May,578897,Joshua Aguirre,752,698,6,1675.2
Andhra Pradesh,Visakhapatnam,Women,Hoodies,29,419909,Owned,09-11-2023,1300,Robert Mitchell,M42,10 AM - 9 PM,7,Not Available,25588,07-04-2024,April,963210,Christina Chandler,918,1539,8,4924.8
Andhra Pradesh,Visakhapatnam,Men,Dresses,67,436896,Rented,10-06-2023,1200,Jonathan Lee,M69,11 AM - 8 PM,16,Available,64833,20-03-2024,March,986033,Rebecca Eaton,354,1638,4,2620.8
